preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_residual {'update': 101, 'best_loss': 1.9515884664473824, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 102, 'best_loss': 1.9515884664473824, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 103, 'best_loss': 1.9515884664473824, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 104, 'best_loss': 1.9515884664473824, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 105, 'best_loss': 1.9515884664473824, 'stopping': 'practical plateau; no update ceiling'}
attitude response {'windows': 81}
attitude response {'update': 1, 'loss': 0.9106630462311063, 'best_loss': 0.9106630462311063}
attitude response {'update': 2, 'loss': 0.9105794595962402, 'best_loss': 0.9105794595962402}
attitude response {'update': 3, 'loss': 0.9105721304324342, 'best_loss': 0.9105721304324342}
attitude response {'update': 4, 'loss': 0.9105714424348915, 'best_loss': 0.9105714424348915}
cable_physics {'windows': 144, 'parameters': ['EI', 'Cb', 'external damping']}
cable_physics {'update': 1, 'loss': 1.322606955317745, 'best_loss': 1.322606955317745}
cable_physics {'update': 2, 'loss': 1.3186935161211089, 'best_loss': 1.3186935161211089}
cable_physics {'update': 3, 'loss': 1.3155898524299894, 'best_loss': 1.3155898524299894}
cable_physics {'update': 4, 'loss': 1.3146184685216966, 'best_loss': 1.3146184685216966}
cable_physics {'update': 5, 'loss': 1.3145546117436728, 'best_loss': 1.3145546117436728}
cable_physics {'update': 6, 'loss': 1.3145546117436728, 'best_loss': 1.3145546117436728}
cable_residual graph preparation {'windows': 144}
cable_residual {'update': 1, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 2, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 3, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 4, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 5, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 6, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 7, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 8, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 9, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 10, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 11, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 12, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 13, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 14, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 15, 'best_loss': 1.3176710731210926, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 16, 'best_loss': 1.3087085387973396, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 17, 'best_loss': 1.3087085387973396, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 18, 'best_loss': 1.3087085387973396, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 19, 'best_loss': 1.3087085387973396, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 20, 'best_loss': 1.3087085387973396, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 21, 'best_loss': 1.2974435012760837, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 22, 'best_loss': 1.2974435012760837, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 23, 'best_loss': 1.2974435012760837, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 24, 'best_loss': 1.2974435012760837, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 25, 'best_loss': 1.2974435012760837, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 26, 'best_loss': 1.2883940911168121, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 27, 'best_loss': 1.2883940911168121, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 28, 'best_loss': 1.2883940911168121, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 29, 'best_loss': 1.2883940911168121, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 30, 'best_loss': 1.2883940911168121, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 31, 'best_loss': 1.276583544265494, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 32, 'best_loss': 1.276583544265494, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 33, 'best_loss': 1.276583544265494, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 34, 'best_loss': 1.276583544265494, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 35, 'best_loss': 1.276583544265494, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 36, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 37, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 38, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 39, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 40, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 41, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 42, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 43, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 44, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 45, 'best_loss': 1.2706174411342095, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 46, 'best_loss': 1.2698156091650448, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 47, 'best_loss': 1.2698156091650448, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 48, 'best_loss': 1.2698156091650448, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 49, 'best_loss': 1.2698156091650448, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 50, 'best_loss': 1.2698156091650448, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 51, 'best_loss': 1.2618328317236365, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 52, 'best_loss': 1.2618328317236365, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 53, 'best_loss': 1.2618328317236365, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 54, 'best_loss': 1.2618328317236365, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 55, 'best_loss': 1.2618328317236365, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 56, 'best_loss': 1.2583330406728221, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 57, 'best_loss': 1.2583330406728221, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 58, 'best_loss': 1.2583330406728221, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 59, 'best_loss': 1.2583330406728221, 'stopping': 'practical plateau; no update ceiling'}
