Evaluating frozen parent before any update {}
combined validation M0
[W914 21:33:23.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 80}
drone_residual {'update': 77, 'best_loss': 3.315937820937047, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 78, 'best_loss': 3.315937820937047, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 79, 'best_loss': 3.315937820937047, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 80, 'best_loss': 3.315937820937047, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 81, 'best_loss': 3.302840535609602, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 82, 'best_loss': 3.302840535609602, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 83, 'best_loss': 3.302840535609602, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 84, 'best_loss': 3.302840535609602, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 85, 'best_loss': 3.302840535609602, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 86, 'best_loss': 3.2901935775887083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 87, 'best_loss': 3.2901935775887083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 88, 'best_loss': 3.2901935775887083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 89, 'best_loss': 3.2901935775887083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 90, 'best_loss': 3.2901935775887083, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 91, 'best_loss': 3.2779433604082318, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 92, 'best_loss': 3.2779433604082318, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 93, 'best_loss': 3.2779433604082318, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 94, 'best_loss': 3.2779433604082318, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 95, 'best_loss': 3.2779433604082318, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 96, 'best_loss': 3.266062503266044, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 97, 'best_loss': 3.266062503266044, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 98, 'best_loss': 3.266062503266044, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 99, 'best_loss': 3.266062503266044, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 100, 'best_loss': 3.266062503266044, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 101, 'best_loss': 3.254537925477338, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 102, 'best_loss': 3.254537925477338, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 103, 'best_loss': 3.254537925477338, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 104, 'best_loss': 3.254537925477338, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 105, 'best_loss': 3.254537925477338, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 106, 'best_loss': 3.2433788152358085, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 107, 'best_loss': 3.2433788152358085, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 108, 'best_loss': 3.2433788152358085, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 109, 'best_loss': 3.2433788152358085, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 110, 'best_loss': 3.2433788152358085, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 111, 'best_loss': 3.232609013700599, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 112, 'best_loss': 3.232609013700599, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 113, 'best_loss': 3.232609013700599, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 114, 'best_loss': 3.232609013700599, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 115, 'best_loss': 3.232609013700599, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 116, 'best_loss': 3.2222702749655836, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 117, 'best_loss': 3.2222702749655836, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 118, 'best_loss': 3.2222702749655836, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 119, 'best_loss': 3.2222702749655836, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 120, 'best_loss': 3.2222702749655836, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 121, 'best_loss': 3.2124197586731, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 122, 'best_loss': 3.2124197586731, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 123, 'best_loss': 3.2124197586731, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 124, 'best_loss': 3.2124197586731, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 125, 'best_loss': 3.2124197586731, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 126, 'best_loss': 3.2031197588107427, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 127, 'best_loss': 3.2031197588107427, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 128, 'best_loss': 3.2031197588107427, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 129, 'best_loss': 3.2031197588107427, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 130, 'best_loss': 3.2031197588107427, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 131, 'best_loss': 3.194424135904431, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 132, 'best_loss': 3.194424135904431, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 133, 'best_loss': 3.194424135904431, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 134, 'best_loss': 3.194424135904431, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 135, 'best_loss': 3.194424135904431, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 136, 'best_loss': 3.18636311226873, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 137, 'best_loss': 3.18636311226873, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 138, 'best_loss': 3.18636311226873, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 139, 'best_loss': 3.18636311226873, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 140, 'best_loss': 3.18636311226873, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 141, 'best_loss': 3.178934552494084, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 142, 'best_loss': 3.178934552494084, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 143, 'best_loss': 3.178934552494084, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 144, 'best_loss': 3.178934552494084, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 145, 'best_loss': 3.178934552494084, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 146, 'best_loss': 3.172103531631693, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 147, 'best_loss': 3.172103531631693, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 148, 'best_loss': 3.172103531631693, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 149, 'best_loss': 3.172103531631693, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 150, 'best_loss': 3.172103531631693, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 151, 'best_loss': 3.1658102131328767, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 152, 'best_loss': 3.1658102131328767, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 153, 'best_loss': 3.1658102131328767, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 154, 'best_loss': 3.1658102131328767, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 155, 'best_loss': 3.1658102131328767, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 156, 'best_loss': 3.1599818089101017, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 157, 'best_loss': 3.1599818089101017, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 158, 'best_loss': 3.1599818089101017, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 159, 'best_loss': 3.1599818089101017, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 160, 'best_loss': 3.1599818089101017, 'stopping': 'practical plateau; no update ceiling'}
