preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
cable_residual {'update': 54, 'best_loss': 0.8848073228939223, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 55, 'best_loss': 0.8848073228939223, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 56, 'best_loss': 0.8844156002058295, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 57, 'best_loss': 0.8844156002058295, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 58, 'best_loss': 0.8844156002058295, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 59, 'best_loss': 0.8844156002058295, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 60, 'best_loss': 0.8844156002058295, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 61, 'best_loss': 0.8802068445493624, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 62, 'best_loss': 0.8802068445493624, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 63, 'best_loss': 0.8802068445493624, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 64, 'best_loss': 0.8802068445493624, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 65, 'best_loss': 0.8802068445493624, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 66, 'best_loss': 0.8787846591870816, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 67, 'best_loss': 0.8787846591870816, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 68, 'best_loss': 0.8787846591870816, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 69, 'best_loss': 0.8787846591870816, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 70, 'best_loss': 0.8787846591870816, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 71, 'best_loss': 0.8765688090947695, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 72, 'best_loss': 0.8765688090947695, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 73, 'best_loss': 0.8765688090947695, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 74, 'best_loss': 0.8765688090947695, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 75, 'best_loss': 0.8765688090947695, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 76, 'best_loss': 0.8750327948562439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 77, 'best_loss': 0.8750327948562439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 78, 'best_loss': 0.8750327948562439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 79, 'best_loss': 0.8750327948562439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 80, 'best_loss': 0.8750327948562439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 81, 'best_loss': 0.8726527376780417, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 82, 'best_loss': 0.8726527376780417, 'stopping': 'practical plateau; no update ceiling'}
