Evaluating frozen parent before any update {}
combined validation M6
[W915 19:28:16.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_residual {'update': 130, 'best_loss': 3.29590753703257, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 131, 'best_loss': 3.291979087603715, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 132, 'best_loss': 3.291979087603715, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 133, 'best_loss': 3.291979087603715, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 134, 'best_loss': 3.291979087603715, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 135, 'best_loss': 3.291979087603715, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 136, 'best_loss': 3.28808832201114, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 137, 'best_loss': 3.28808832201114, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 138, 'best_loss': 3.28808832201114, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 139, 'best_loss': 3.28808832201114, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 140, 'best_loss': 3.28808832201114, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 141, 'best_loss': 3.284233292155138, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 142, 'best_loss': 3.284233292155138, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 143, 'best_loss': 3.284233292155138, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 144, 'best_loss': 3.284233292155138, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 145, 'best_loss': 3.284233292155138, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 146, 'best_loss': 3.2804123262645786, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 147, 'best_loss': 3.2804123262645786, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 148, 'best_loss': 3.2804123262645786, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 149, 'best_loss': 3.2804123262645786, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 150, 'best_loss': 3.2804123262645786, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 151, 'best_loss': 3.2766240544934773, 'stopping': 'practical plateau; no update ceiling'}
